PMID	PMCID	TITLE	DOI
32238979		'Dental Hierarchy of Needs' in the COVID-19 Era - or Why Treat When It Doesn't Hurt?	
32301206		'Let us Help'- Why Senior Medical Students are the Next Step in Battling the COVID-19 Pandemic.	
32099125		'No one is allowed to go out': your stories from the coronavirus outbreak.	
32231319		'We need to be alert': Scientists fear second coronavirus wave as China's lockdowns ease.	
32277386		"Fast, faster, and fastest: science on the run during COVID-19 drama"-"do not forget the liver".	
32267343		"Pandemic fear" and COVID-19: mental health burden and strategies.	
32268020		"We Signed Up for This!" - Student and Trainee Responses to the Covid-19 Pandemic.	
32282920		"We're staying at home". Association of self-perceptions of aging, personal and family resources and loneliness with psychological distress during the lock-down period of COVID-19.	
32271506		"What Were You Before the War?" Repurposing Psychiatry During the COVID-19 Pandemic.	
32088847	PMC7080035	(18)F-FDG PET/CT findings of COVID-19: a series of four highly suspected cases.	
32243920		(18)F-FDG uptake in Asymptomatic SARS-CoV-2 (COVID-19) patient, referred to PET/CT for Non-Small Cells Lung Cancer restaging.	
32292911	PMC7118643	1,000,000 cases of COVID-19 outside of China: The date predicted by a simple heuristic.	
32246897		10 Questions and 4 experts on Corona.	
32302279		15 Smartphone Apps for Older Adults to Use While in Isolation During the COVID-19 Pandemic.	
32166511	PMC7080005	18F-FDG PET/CT and COVID-19.	
32241182		2019 CORONAVIRUS: What are the implications for cardiology?	
32156648	PMC7102618	2019 novel coronavirus (2019-nCoV) outbreak: A new challenge.	
32013795		2019 Novel Coronavirus (2019-nCoV) Pneumonia.	
32265315		2019 Novel Coronavirus (COVID-19) Pandemic: Built Environment Considerations To Reduce Transmission.	
32174057		2019 Novel Coronavirus (COVID-19) Pneumonia with Hemoptysis as the Initial Symptom: CT and Clinical Features.	
32100486	PMC7082663	2019 Novel Coronavirus (COVID-19) Pneumonia: Serial Computed Tomography Findings.	
32217986		2019 Novel Coronavirus and awareness.	
32111449	PMC7102546	2019 novel coronavirus disease (COVID-19) in Taiwan: Reports of two cases from Wuhan, China.	
32183357		2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics.	
32096611		2019 Novel coronavirus infection and gastrointestinal tract.	
32130405	PMC7108124	2019 novel coronavirus is undergoing active recombination.	
32078069	PMC7033263	2019 novel coronavirus of pneumonia in Wuhan, China: emerging attack and management strategies.	
32198708		2019 novel Coronavirus outbreak: a quiz or final exam?	
32022836		2019 Novel Coronavirus-Important Information for Clinicians.	
32072569		2019 Novel coronavirus: where we are and what we know.	
32060933		2019_nCoV/SARS-CoV-2: rapid classification of betacoronaviruses and identification of Traditional Chinese Medicine as potential origin of zoonotic coronaviruses.	
32049463		2019-nCoV : lecons d'incertitudes et de mondialisation.	
32088679		2019-nCoV (Wuhan virus), a novel Coronavirus: human-to-human transmission, travel-related cases, and vaccine readiness.	
32027812		2019-nCoV acute respiratory disease, Australia: Epidemiology Report 1 (Reporting week 26 January - 1 February 2020).	
32043982		2019-nCoV epidemic: address mental health care to empower society.	
32035511		2019-nCoV epidemic: what about pregnancies?	
32035507		2019-nCoV in context: lessons learned?	
32289366	PMC7151469	2019-nCoV Pandemic: A disruptive and stressful atmosphere for Indian academic fraternity.	
32035510		2019-nCoV transmission through the ocular surface must not be ignored.	
32059801		2019-nCoV, fake news, and racism.	
32153742	PMC7036705	2019-nCoV: Polite with children!	
32191174	PMC7081861	2019-nCoV: The Identify-Isolate-Inform (3I) Tool Applied to a Novel Emerging Coronavirus.	
32207676		2019-ncov's epidemic in middle province of northern Italy: impact, logistic & strategy in the first line hospital.	
32031234		2019-novel Coronavirus (2019-nCoV): estimating the case fatality rate - a word of caution.	
