#PMID	PMCID	TITLE	LANGUAGE
31992387	PMC6988269	Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR.	
31992390	PMC6988271	Note from the editors: novel coronavirus (2019-nCoV).	
31992388	PMC6988272	Real-time tentative assessment of the epidemiological characteristics of novel coronavirus infections in Wuhan, China, as at 22 January 2020.	ch
31997618	PMC6995816	The Fight against the 2019-nCoV Outbreak: an Arduous March Has Just Begun.	ch
32019669	PMC7001239	Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020.	ch
32019667	PMC7001240	Novel coronavirus (2019-nCoV) early-stage importation risk to Europe, January 2020.	ch
32029004	PMC7003341	A rapid advice guideline for the diagnosis and treatment of 2019 novel coronavirus (2019-nCoV) infected pneumonia (standard version).	ch
32027631	PMC7004396	Initial Public Health Response and Interim Clinical Guidance for the 2019 Novel Coronavirus Outbreak - United States, December 31, 2019-February 4, 2020.	ch
32030926	PMC7008072	The Outbreak Cases with the Novel Coronavirus Suggest Upgraded Quarantine and Isolation in Korea.	ch
32030925	PMC7008073	The First Case of 2019 Novel Coronavirus Pneumonia Imported into Korea from Wuhan, China: Implication for Infection Prevention and Control Measures.	ch
32023775	PMC7011107	An interim review of the epidemiological characteristics of 2019 novel coronavirus.	ch
32046816	PMC7014668	Effectiveness of airport screening at detecting travellers infected with novel coronavirus (2019-nCoV).	ch
32019636	PMC7014669	Note from the editors: World Health Organization declares novel coronavirus (2019-nCoV) sixth public health emergency of international concern.	ch
32046819	PMC7014672	Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20-28 January 2020.	ch
32040190	PMC7017878	A qualitative study of zoonotic risk factors among rural communities in southern China.	ch
32053580	PMC7017960	Erratum: Vol. 69, No. 5.	ch
32053579	PMC7017962	Persons Evaluated for 2019 Novel Coronavirus - United States, January 2020.	ch
32158035	PMC7023952	Medicine's Challenges: Vaping and Coronavirus.	ch
32056407	PMC7025910	Case of the Index Patient Who Caused Tertiary Transmission of COVID-19 Infection in Korea: the Application of Lopinavir/Ritonavir for the Treatment of COVID-19 Infected Pneumonia Monitored by Quantitative RT-PCR.	ch
32019614	PMC7026896	SARS to novel coronavirus - old lessons and new lessons.	ch
32099934	PMC7029158	An updated estimation of the risk of transmission of the novel coronavirus (2019-nCov).	ch
32104726	PMC7029402	The 2019 Novel Coronavirus: A Crown Jewel of Pandemics?	ch
32046815	PMC7029448	Laboratory readiness and response for novel coronavirus (2019-nCoV) in expert laboratories in 30 EU/EEA countries, January 2020.	ch
32046814	PMC7029449	Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak.	ch
32070466	PMC7029450	Latest updates on COVID-19 from the European Centre for Disease Prevention and Control.	ch
32070465	PMC7029452	First cases of coronavirus disease 2019 (COVID-19) in France: surveillance, investigations and control measures, January 2020.	ch
32070391	PMC7029610	Critical care response to a hospital outbreak of the 2019-nCoV infection in Shenzhen, China.	ch
32117569	PMC7029759	Therapeutic strategies in an outbreak scenario to treat the novel coronavirus originating in Wuhan, China.	ch
32071113	PMC7030882	Communication, transparency key as Canada faces new coronavirus threat.	ch
32099717	PMC7031769	Should, and how can, exercise be done during a coronavirus outbreak? An interview with Dr. Jeffrey A. Woods.	ch
32099716	PMC7031771	Wuhan coronavirus (2019-nCoV): The need to maintain regular physical activity while taking precautions.	ch
32078069	PMC7033263	2019 novel coronavirus of pneumonia in Wuhan, China: emerging attack and management strategies.	de
32079638	PMC7033275	Complete Genome Sequences of Five Human Coronavirus NL63 Strains Causing Respiratory Illness in Hospitalized Children in China.	ch
32110742	PMC7033348	Real-time forecasts of the COVID-19 epidemic in China from February 5th to February 24th, 2020.	ch
32056509	PMC7033698	HIV-1 did not contribute to the 2019-nCoV genome.	ch
32005086	PMC7033706	An emerging coronavirus causing pneumonia outbreak in Wuhan, China: calling for developing therapeutic and prophylactic strategies.	ch
32020836	PMC7033720	RNA based mNGS approach identifies a novel human coronavirus from two individual pneumonia cases in 2019 Wuhan outbreak.	ch
32133159	PMC7035340	Potential benefits of precise corticosteroids therapy for severe 2019-nCoV pneumonia.	ch
32080991	PMC7036338	Viral Load Kinetics of SARS-CoV-2 Infection in First Two Patients in Korea.	ch
32080990	PMC7036342	Virus Isolation from the First Patient with SARS-CoV-2 in Korea.	ch
32080992	PMC7036343	Letter to the Editor: Case of the Index Patient Who Caused Tertiary Transmission of Coronavirus Disease 2019 in Korea: the Application of Lopinavir/Ritonavir for the Treatment of COVID-19 Pneumonia Monitored by Quantitative RT-PCR.	ch
32154287	PMC7036629	Chinese expert consensus on the perinatal and neonatal management for the prevention and control of the 2019 novel coronavirus infection (First edition).	ch
32154288	PMC7036635	Which lessons shall we learn from the 2019 novel coronavirus outbreak?	ch
32154135	PMC7036645	Clinical analysis of 10 neonates born to mothers with 2019-nCoV pneumonia.	ch
32153742	PMC7036705	2019-nCoV: Polite with children!	ch
32056397	PMC7039714	Novel Coronavirus Pneumonia Outbreak in 2019: Computed Tomographic Findings in Two Cases.	ch
32056396	PMC7039716	Pneumonia Associated with 2019 Novel Coronavirus: Can Computed Tomographic Findings Help Predict the Prognosis of the Disease?	ch
32133152	PMC7039910	Phase-adjusted estimation of the number of Coronavirus Disease 2019 cases in Wuhan, China.	ch
32094336	PMC7039956	High expression of ACE2 receptor of 2019-nCoV on the epithelial cells of oral mucosa.	ch
32133153	PMC7040011	Comparative genetic analysis of the novel coronavirus (2019-nCoV/SARS-CoV-2) receptor ACE2 in different populations.	ch
32025779	PMC7042184	Novel coronavirus infection during the 2019-2020 epidemic: preparing intensive care units-the experience in Sichuan Province, China.	ch
32058570	PMC7042807	Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China.	ch
32083643	PMC7042844	Presumed Asymptomatic Carrier Transmission of COVID-19.	ch
32031568	PMC7042871	Epidemiologic and Clinical Characteristics of Novel Coronavirus Infections Involving 13 Patients Outside Wuhan, China.	ch
32031570	PMC7042881	Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China.	ch
32133129	PMC7043250	Houston we have a problem: coronavirus!	ch
32149035	PMC7045877	Effectiveness for the Response to COVID-19: The MERS Outbreak Containment Procedures.	ch
32149037	PMC7045878	Early Epidemiological and Clinical Characteristics of 28 Cases of Coronavirus Disease in South Korea.	ch
32149036	PMC7045880	Identification of Coronavirus Isolated from a Patient in Korea with COVID-19.	ch
32149043	PMC7045882	Contact Transmission of COVID-19 in South Korea: Novel Investigation Techniques for Tracing Contacts.	ch
32148740	PMC7046369	Challenges and responsibilities of family doctors in the new global coronavirus outbreak.	de
32140676	PMC7046497	Emerging zoonoses: A one health challenge.	de
